iter	Passed	Remaining
398	336921	85285
399	337774	84443
400	338494	83568
401	339322	82720
402	340197	81883
403	341015	81033
404	341916	80202
405	342688	79341
406	343485	78486
407	344308	77638
408	345158	76795
409	346008	75953
410	346912	75122
411	347804	74288
412	348571	73427
413	349475	72596
414	350308	71749
415	351089	70893
416	351904	70043
417	352809	69211
418	353684	68373
419	354583	67539
420	355496	66708
421	356427	65879
422	357209	65024
423	358121	64191
424	358969	63347
425	359832	62506
426	360689	61663
427	361477	60809
428	362353	59969
429	363138	59115
430	363936	58263
431	364762	57416
432	365534	56560
433	366326	55708
434	367220	54872
435	367973	54014
436	368850	53175
437	369651	52325
438	370514	51483
439	371379	50642
440	372211	49797
441	373084	48956
442	373957	48116
443	374808	47273
444	375651	46428
445	376450	45579
446	377361	44743
447	378272	43906
448	379085	43058
449	379995	42221
450	380802	41373
451	381664	40530
452	382561	39691
453	383429	38849
454	384308	38008
455	385204	37168
456	386052	36324
457	386912	35481
458	387644	34626
459	388533	33785
460	389435	32945
461	390303	32102
462	391171	31259
463	392077	30419
464	392877	29571
465	393749	28728
466	394596	27883
467	395462	27040
468	396391	26200
469	397262	25357
470	398082	24510
471	398968	23667
472	399814	22822
473	400702	21979
474	401640	21138
475	402529	20295
476	403440	19453
477	404268	18606
478	405161	17762
479	405976	16915
480	406856	16071
481	407673	15224
482	408556	14379
483	409419	13534
484	410291	12689
485	411042	11840
486	411851	10993
487	412719	10148
488	413598	9303
489	414392	8456
490	415170	7610
491	416019	6764
492	416887	5919
493	417770	5074
494	418629	4228
495	419491	3382
496	420347	2537
497	421084	1691
498	421881	845
499	422739	0
