iter	Logloss
0	0.6170320424
1	0.5506639057
2	0.497535988
3	0.4480345287
4	0.4187009547
5	0.3963059381
6	0.3732434263
7	0.3554126933
8	0.3389753287
9	0.330127241
10	0.3234721803
11	0.3174442086
12	0.3112679271
13	0.3055958805
14	0.3006132798
15	0.2968599111
16	0.293342546
17	0.2887855749
18	0.2865655008
19	0.2843507665
20	0.281986929
21	0.2800444235
22	0.2763850157
23	0.274390616
24	0.2722304649
25	0.2713665614
26	0.2700812999
27	0.2682410945
28	0.267267872
29	0.2661992975
30	0.2640676125
31	0.2631436427
32	0.2609963338
33	0.2602993777
34	0.259246588
35	0.2585748592
36	0.2578339932
37	0.257128531
38	0.2558718202
39	0.2552770468
40	0.2543514244
41	0.2534310708
42	0.2525981145
43	0.2515201601
44	0.250289001
45	0.2496582639
46	0.2485846624
47	0.2474830146
48	0.2461665515
49	0.2457056826
50	0.2454095444
51	0.2450862318
52	0.2444661402
53	0.2439623252
54	0.2435211501
55	0.2428545412
56	0.2424441433
57	0.241807081
58	0.241537975
59	0.2411686543
60	0.2408170296
61	0.2406454342
62	0.2400760585
63	0.2397020969
64	0.2391146379
65	0.2386147016
66	0.23814805
67	0.2377189217
68	0.2375544812
69	0.2372095455
70	0.2368682227
71	0.2365941393
72	0.2364103296
73	0.2362348616
74	0.2360531423
75	0.2357465477
76	0.2353210403
77	0.2350467708
78	0.2348174944
79	0.2347367584
80	0.2344607265
81	0.2341967531
82	0.2340807908
83	0.2335676184
84	0.2334248209
85	0.2329498756
86	0.2326853677
87	0.2325303495
88	0.2323691659
89	0.2321593383
90	0.2320389268
91	0.2317248401
92	0.2314066901
93	0.231125265
94	0.2303094528
95	0.2301408326
96	0.2297751375
97	0.229482355
98	0.2287542488
99	0.228318716
100	0.2280387114
101	0.227327466
102	0.2269325813
103	0.2264413304
104	0.2263120117
105	0.2261309069
106	0.2259978507
107	0.2258316886
108	0.2255146697
109	0.2252015044
110	0.2250568856
111	0.2247782652
112	0.2238017803
113	0.2234492029
114	0.223184148
115	0.2229168489
116	0.2222174479
117	0.2217266397
118	0.2214820957
119	0.221413985
120	0.2211229309
121	0.2205167129
122	0.2202444844
123	0.2200444415
124	0.2197490394
125	0.219594341
126	0.2194724284
127	0.2193024742
128	0.2191801808
129	0.2189451088
130	0.2185874238
131	0.2184873751
132	0.2182212503
133	0.2176952521
134	0.217547951
135	0.217402072
136	0.2172975638
